"crops","nitrogen","phosphorus","potassium","ph","temperature","rainfall","season","soil_type","category"
"rice","n_70_90","p_30_50","k_30_50",6.5,"t_25_30",300,"kharif","red_yellow","class 2"
"rice","n_70_90","p_30_50","k_30_50",5.5,"t_20_25",175,"kharif","red_loam","class 10"
"rice","n_70_90","p_30_50","k_30_50",6.5,"t_20_25",175,"kharif","red_loam","class 10"
"rice","n_70_90","p_30_50","k_30_50",5.5,"t_25_30",175,"kharif","red_loam","class 10"
"rice","n_70_90","p_30_50","k_30_50",6.5,"t_25_30",175,"kharif","red_loam","class 2"
"rice","n_70_90","p_30_50","k_30_50",5.5,"t_20_25",300,"kharif","red_loam","class 10"
"rice","n_70_90","p_30_50","k_30_50",6.5,"t_20_25",300,"kharif","red_loam","class 2"
"rice","n_70_90","p_30_50","k_30_50",5.5,"t_25_30",300,"kharif","red_loam","class 2"
"rice","n_70_90","p_30_50","k_30_50",6.5,"t_25_30",300,"kharif","red_loam","class 2"
"wheat","n_90_110","p_30_50","k_0_15",6,"t_20_25",63,"rabi","loam","class 10"
"wheat","n_90_110","p_30_50","k_0_15",7,"t_20_25",63,"rabi","loam","class 11"
"wheat","n_90_110","p_30_50","k_0_15",6,"t_20_25",87,"rabi","loam","class 10"
"wheat","n_90_110","p_30_50","k_0_15",7,"t_20_25",87,"rabi","loam","class 11"
"wheat","n_90_110","p_30_50","k_0_15",6,"t_20_25",63,"rabi","clay_loam","class 1"
"wheat","n_90_110","p_30_50","k_0_15",7,"t_20_25",63,"rabi","clay_loam","class 1"
"wheat","n_90_110","p_30_50","k_0_15",6,"t_20_25",87,"rabi","clay_loam","class 1"
"wheat","n_90_110","p_30_50","k_0_15",7,"t_20_25",87,"rabi","clay_loam","class 1"
"jowar","n_70_90","p_30_50","k_30_50",6,"t_25_30",40,"kharif","loam","class 10"
"jowar","n_70_90","p_30_50","k_30_50",8.5,"t_25_30",40,"kharif","loam","class 2"
"jowar","n_70_90","p_30_50","k_30_50",6,"t_30_35",40,"kharif","loam","class 10"
"jowar","n_70_90","p_30_50","k_30_50",8.5,"t_30_35",40,"kharif","loam","class 2"
"jowar","n_70_90","p_30_50","k_30_50",6,"t_25_30",45,"kharif","loam","class 10"
"jowar","n_70_90","p_30_50","k_30_50",8.5,"t_25_30",45,"kharif","loam","class 2"
"jowar","n_70_90","p_30_50","k_30_50",6,"t_30_35",45,"kharif","loam","class 10"
"jowar","n_70_90","p_30_50","k_30_50",8.5,"t_30_35",45,"kharif","loam","class 2"
"jowar","n_70_90","p_30_50","k_30_50",6,"t_25_30",40,"kharif","sandy","class 10"
"jowar","n_70_90","p_30_50","k_30_50",8.5,"t_25_30",40,"kharif","sandy","class 2"
"jowar","n_70_90","p_30_50","k_30_50",6,"t_30_35",40,"kharif","sandy","class 10"
"jowar","n_70_90","p_30_50","k_30_50",8.5,"t_30_35",40,"kharif","sandy","class 2"
"jowar","n_70_90","p_30_50","k_30_50",6,"t_25_30",45,"kharif","sandy","class 10"
"jowar","n_70_90","p_30_50","k_30_50",8.5,"t_25_30",45,"kharif","sandy","class 2"
"jowar","n_70_90","p_30_50","k_30_50",6,"t_30_35",45,"kharif","sandy","class 10"
"jowar","n_70_90","p_30_50","k_30_50",8.5,"t_30_35",45,"kharif","sandy","class 2"
"jowar","n_70_90","p_30_50","k_30_50",6,"t_25_30",40,"kharif","clay","class 10"
"jowar","n_70_90","p_30_50","k_30_50",8.5,"t_25_30",40,"kharif","clay","class 4"
"jowar","n_70_90","p_30_50","k_30_50",6,"t_30_35",40,"kharif","clay","class 10"
"jowar","n_70_90","p_30_50","k_30_50",8.5,"t_30_35",40,"kharif","clay","class 4"
"jowar","n_70_90","p_30_50","k_30_50",6,"t_25_30",45,"kharif","clay","class 10"
"jowar","n_70_90","p_30_50","k_30_50",8.5,"t_25_30",45,"kharif","clay","class 4"
"jowar","n_70_90","p_30_50","k_30_50",6,"t_30_35",45,"kharif","clay","class 10"
"jowar","n_70_90","p_30_50","k_30_50",8.5,"t_30_35",45,"kharif","clay","class 4"
"jowar","n_70_90","p_30_50","k_30_50",6,"t_25_30",40,"kharif","alluvial","class 10"
"jowar","n_70_90","p_30_50","k_30_50",8.5,"t_25_30",40,"kharif","alluvial","class 2"
"jowar","n_70_90","p_30_50","k_30_50",6,"t_30_35",40,"kharif","alluvial","class 10"
"jowar","n_70_90","p_30_50","k_30_50",8.5,"t_30_35",40,"kharif","alluvial","class 2"
"jowar","n_70_90","p_30_50","k_30_50",6,"t_25_30",45,"kharif","alluvial","class 10"
"jowar","n_70_90","p_30_50","k_30_50",8.5,"t_25_30",45,"kharif","alluvial","class 2"
"jowar","n_70_90","p_30_50","k_30_50",6,"t_30_35",45,"kharif","alluvial","class 10"
"jowar","n_70_90","p_30_50","k_30_50",8.5,"t_30_35",45,"kharif","alluvial","class 2"
"barley","n_60_80","p_30_50","k_35_55",6,"t_10_15",39,"rabi","clay","class 1"
"barley","n_60_80","p_30_50","k_35_55",7.5,"t_10_15",39,"rabi","clay","class 4"
"barley","n_60_80","p_30_50","k_35_55",6,"t_15_20",39,"rabi","clay","class 1"
"barley","n_60_80","p_30_50","k_35_55",7.5,"t_15_20",39,"rabi","clay","class 4"
"barley","n_60_80","p_30_50","k_35_55",6,"t_20_25",39,"rabi","clay","class 1"
"barley","n_60_80","p_30_50","k_35_55",7.5,"t_20_25",39,"rabi","clay","class 17"
"barley","n_60_80","p_30_50","k_35_55",6,"t_10_15",43,"rabi","clay","class 1"
"barley","n_60_80","p_30_50","k_35_55",7.5,"t_10_15",43,"rabi","clay","class 4"
"barley","n_60_80","p_30_50","k_35_55",6,"t_15_20",43,"rabi","clay","class 1"
"barley","n_60_80","p_30_50","k_35_55",7.5,"t_15_20",43,"rabi","clay","class 4"
"barley","n_60_80","p_30_50","k_35_55",6,"t_20_25",43,"rabi","clay","class 1"
"barley","n_60_80","p_30_50","k_35_55",7.5,"t_20_25",43,"rabi","clay","class 17"
"barley","n_60_80","p_30_50","k_35_55",6,"t_10_15",39,"rabi","sandy_loam","class 1"
"barley","n_60_80","p_30_50","k_35_55",7.5,"t_10_15",39,"rabi","sandy_loam","class 1"
"barley","n_60_80","p_30_50","k_35_55",6,"t_15_20",39,"rabi","sandy_loam","class 1"
"barley","n_60_80","p_30_50","k_35_55",7.5,"t_15_20",39,"rabi","sandy_loam","class 1"
"barley","n_60_80","p_30_50","k_35_55",6,"t_20_25",39,"rabi","sandy_loam","class 1"
"barley","n_60_80","p_30_50","k_35_55",7.5,"t_20_25",39,"rabi","sandy_loam","class 1"
"barley","n_60_80","p_30_50","k_35_55",6,"t_10_15",43,"rabi","sandy_loam","class 1"
"barley","n_60_80","p_30_50","k_35_55",7.5,"t_10_15",43,"rabi","sandy_loam","class 1"
"barley","n_60_80","p_30_50","k_35_55",6,"t_15_20",43,"rabi","sandy_loam","class 1"
"barley","n_60_80","p_30_50","k_35_55",7.5,"t_15_20",43,"rabi","sandy_loam","class 1"
"barley","n_60_80","p_30_50","k_35_55",6,"t_20_25",43,"rabi","sandy_loam","class 1"
"barley","n_60_80","p_30_50","k_35_55",7.5,"t_20_25",43,"rabi","sandy_loam","class 1"
"bajra","n_80_100","p_20_40","k_0_15",4,"t_40_45",40,"kharif","sandy","class 14"
"bajra","n_80_100","p_20_40","k_0_15",5.5,"t_40_45",40,"kharif","sandy","class 14"
"bajra","n_80_100","p_20_40","k_0_15",4,"t_45_50",40,"kharif","sandy","class 14"
"bajra","n_80_100","p_20_40","k_0_15",5.5,"t_45_50",40,"kharif","sandy","class 14"
"bajra","n_80_100","p_20_40","k_0_15",4,"t_50_55",40,"kharif","sandy","class 14"
"bajra","n_80_100","p_20_40","k_0_15",5.5,"t_50_55",40,"kharif","sandy","class 14"
"bajra","n_80_100","p_20_40","k_0_15",4,"t_55_60",40,"kharif","sandy","class 14"
"bajra","n_80_100","p_20_40","k_0_15",5.5,"t_55_60",40,"kharif","sandy","class 14"
"bajra","n_80_100","p_20_40","k_0_15",4,"t_40_45",45,"kharif","sandy","class 14"
"bajra","n_80_100","p_20_40","k_0_15",5.5,"t_40_45",45,"kharif","sandy","class 14"
"bajra","n_80_100","p_20_40","k_0_15",4,"t_45_50",45,"kharif","sandy","class 14"
"bajra","n_80_100","p_20_40","k_0_15",5.5,"t_45_50",45,"kharif","sandy","class 14"
"bajra","n_80_100","p_20_40","k_0_15",4,"t_50_55",45,"kharif","sandy","class 14"
"bajra","n_80_100","p_20_40","k_0_15",5.5,"t_50_55",45,"kharif","sandy","class 14"
"bajra","n_80_100","p_20_40","k_0_15",4,"t_55_60",45,"kharif","sandy","class 14"
"bajra","n_80_100","p_20_40","k_0_15",5.5,"t_55_60",45,"kharif","sandy","class 14"
"bajra","n_80_100","p_20_40","k_0_15",4,"t_40_45",40,"kharif","black","class 14"
"bajra","n_80_100","p_20_40","k_0_15",5.5,"t_40_45",40,"kharif","black","class 14"
"bajra","n_80_100","p_20_40","k_0_15",4,"t_45_50",40,"kharif","black","class 14"
"bajra","n_80_100","p_20_40","k_0_15",5.5,"t_45_50",40,"kharif","black","class 14"
"bajra","n_80_100","p_20_40","k_0_15",4,"t_50_55",40,"kharif","black","class 14"
"bajra","n_80_100","p_20_40","k_0_15",5.5,"t_50_55",40,"kharif","black","class 14"
"bajra","n_80_100","p_20_40","k_0_15",4,"t_55_60",40,"kharif","black","class 14"
"bajra","n_80_100","p_20_40","k_0_15",5.5,"t_55_60",40,"kharif","black","class 14"
"bajra","n_80_100","p_20_40","k_0_15",4,"t_40_45",45,"kharif","black","class 14"
"bajra","n_80_100","p_20_40","k_0_15",5.5,"t_40_45",45,"kharif","black","class 14"
"bajra","n_80_100","p_20_40","k_0_15",4,"t_45_50",45,"kharif","black","class 14"
"bajra","n_80_100","p_20_40","k_0_15",5.5,"t_45_50",45,"kharif","black","class 14"
"bajra","n_80_100","p_20_40","k_0_15",4,"t_50_55",45,"kharif","black","class 14"
"bajra","n_80_100","p_20_40","k_0_15",5.5,"t_50_55",45,"kharif","black","class 14"
"bajra","n_80_100","p_20_40","k_0_15",4,"t_55_60",45,"kharif","black","class 14"
"bajra","n_80_100","p_20_40","k_0_15",5.5,"t_55_60",45,"kharif","black","class 14"
"bajra","n_80_100","p_20_40","k_0_15",4,"t_40_45",40,"kharif","red","class 14"
"bajra","n_80_100","p_20_40","k_0_15",5.5,"t_40_45",40,"kharif","red","class 14"
"bajra","n_80_100","p_20_40","k_0_15",4,"t_45_50",40,"kharif","red","class 14"
"bajra","n_80_100","p_20_40","k_0_15",5.5,"t_45_50",40,"kharif","red","class 14"
"bajra","n_80_100","p_20_40","k_0_15",4,"t_50_55",40,"kharif","red","class 14"
"bajra","n_80_100","p_20_40","k_0_15",5.5,"t_50_55",40,"kharif","red","class 14"
"bajra","n_80_100","p_20_40","k_0_15",4,"t_55_60",40,"kharif","red","class 14"
"bajra","n_80_100","p_20_40","k_0_15",5.5,"t_55_60",40,"kharif","red","class 14"
"bajra","n_80_100","p_20_40","k_0_15",4,"t_40_45",45,"kharif","red","class 14"
"bajra","n_80_100","p_20_40","k_0_15",5.5,"t_40_45",45,"kharif","red","class 14"
"bajra","n_80_100","p_20_40","k_0_15",4,"t_45_50",45,"kharif","red","class 14"
"bajra","n_80_100","p_20_40","k_0_15",5.5,"t_45_50",45,"kharif","red","class 14"
"bajra","n_80_100","p_20_40","k_0_15",4,"t_50_55",45,"kharif","red","class 14"
"bajra","n_80_100","p_20_40","k_0_15",5.5,"t_50_55",45,"kharif","red","class 14"
"bajra","n_80_100","p_20_40","k_0_15",4,"t_55_60",45,"kharif","red","class 14"
"bajra","n_80_100","p_20_40","k_0_15",5.5,"t_55_60",45,"kharif","red","class 14"
"bajra","n_80_100","p_20_40","k_0_15",4,"t_40_45",40,"kharif","gravely","class 14"
"bajra","n_80_100","p_20_40","k_0_15",5.5,"t_40_45",40,"kharif","gravely","class 14"
"bajra","n_80_100","p_20_40","k_0_15",4,"t_45_50",40,"kharif","gravely","class 14"
"bajra","n_80_100","p_20_40","k_0_15",5.5,"t_45_50",40,"kharif","gravely","class 14"
"bajra","n_80_100","p_20_40","k_0_15",4,"t_50_55",40,"kharif","gravely","class 14"
"bajra","n_80_100","p_20_40","k_0_15",5.5,"t_50_55",40,"kharif","gravely","class 14"
"bajra","n_80_100","p_20_40","k_0_15",4,"t_55_60",40,"kharif","gravely","class 14"
"bajra","n_80_100","p_20_40","k_0_15",5.5,"t_55_60",40,"kharif","gravely","class 14"
"bajra","n_80_100","p_20_40","k_0_15",4,"t_40_45",45,"kharif","gravely","class 14"
"bajra","n_80_100","p_20_40","k_0_15",5.5,"t_40_45",45,"kharif","gravely","class 14"
"bajra","n_80_100","p_20_40","k_0_15",4,"t_45_50",45,"kharif","gravely","class 14"
"bajra","n_80_100","p_20_40","k_0_15",5.5,"t_45_50",45,"kharif","gravely","class 14"
"bajra","n_80_100","p_20_40","k_0_15",4,"t_50_55",45,"kharif","gravely","class 14"
"bajra","n_80_100","p_20_40","k_0_15",5.5,"t_50_55",45,"kharif","gravely","class 14"
"bajra","n_80_100","p_20_40","k_0_15",4,"t_55_60",45,"kharif","gravely","class 14"
"bajra","n_80_100","p_20_40","k_0_15",5.5,"t_55_60",45,"kharif","gravely","class 14"
"maize","n_70_90","p_30_50","k_10_30",5.8,"t_15_20",60,"rabi","sandy_loam","class 20"
"maize","n_70_90","p_30_50","k_10_30",6.8,"t_15_20",60,"rabi","sandy_loam","class 7"
"maize","n_70_90","p_30_50","k_10_30",5.8,"t_20_25",60,"rabi","sandy_loam","class 1"
"maize","n_70_90","p_30_50","k_10_30",6.8,"t_20_25",60,"rabi","sandy_loam","class 1"
"maize","n_70_90","p_30_50","k_10_30",5.8,"t_25_30",60,"rabi","sandy_loam","class 20"
"maize","n_70_90","p_30_50","k_10_30",6.8,"t_25_30",60,"rabi","sandy_loam","class 20"
"maize","n_70_90","p_30_50","k_10_30",5.8,"t_15_20",110,"rabi","sandy_loam","class 1"
"maize","n_70_90","p_30_50","k_10_30",6.8,"t_15_20",110,"rabi","sandy_loam","class 7"
"maize","n_70_90","p_30_50","k_10_30",5.8,"t_20_25",110,"rabi","sandy_loam","class 1"
"maize","n_70_90","p_30_50","k_10_30",6.8,"t_20_25",110,"rabi","sandy_loam","class 1"
"maize","n_70_90","p_30_50","k_10_30",5.8,"t_25_30",110,"rabi","sandy_loam","class 20"
"maize","n_70_90","p_30_50","k_10_30",6.8,"t_25_30",110,"rabi","sandy_loam","class 20"
"ragi","n_40_60","p_30_50","k_10_30",4.5,"t_25_30",60,"kharif","loamy","class 10"
"ragi","n_40_60","p_30_50","k_10_30",7.5,"t_25_30",60,"kharif","loamy","class 4"
"ragi","n_40_60","p_30_50","k_10_30",4.5,"t_25_30",75,"kharif","loamy","class 10"
"ragi","n_40_60","p_30_50","k_10_30",7.5,"t_25_30",75,"kharif","loamy","class 4"
"ragi","n_40_60","p_30_50","k_10_30",4.5,"t_25_30",60,"kharif","sandy_loam","class 20"
"ragi","n_40_60","p_30_50","k_10_30",7.5,"t_25_30",60,"kharif","sandy_loam","class 4"
"ragi","n_40_60","p_30_50","k_10_30",4.5,"t_25_30",75,"kharif","sandy_loam","class 20"
"ragi","n_40_60","p_30_50","k_10_30",7.5,"t_25_30",75,"kharif","sandy_loam","class 4"
"ragi","n_40_60","p_30_50","k_10_30",4.5,"t_25_30",60,"kharif","red_loam","class 10"
"ragi","n_40_60","p_30_50","k_10_30",7.5,"t_25_30",60,"kharif","red_loam","class 4"
"ragi","n_40_60","p_30_50","k_10_30",4.5,"t_25_30",75,"kharif","red_loam","class 10"
"ragi","n_40_60","p_30_50","k_10_30",7.5,"t_25_30",75,"kharif","red_loam","class 4"
"chickpea","n_30_50","p_50_70","k_70_90",5.5,"t_20_25",67,"rabi","loam","class 6"
"chickpea","n_30_50","p_50_70","k_70_90",7,"t_20_25",67,"rabi","loam","class 11"
"chickpea","n_30_50","p_50_70","k_70_90",5.5,"t_25_30",67,"rabi","loam","class 20"
"chickpea","n_30_50","p_50_70","k_70_90",7,"t_25_30",67,"rabi","loam","class 11"
"chickpea","n_30_50","p_50_70","k_70_90",5.5,"t_20_25",95,"rabi","loam","class 6"
"chickpea","n_30_50","p_50_70","k_70_90",7,"t_20_25",95,"rabi","loam","class 11"
"chickpea","n_30_50","p_50_70","k_70_90",5.5,"t_25_30",95,"rabi","loam","class 20"
"chickpea","n_30_50","p_50_70","k_70_90",7,"t_25_30",95,"rabi","loam","class 11"
"chickpea","n_30_50","p_50_70","k_70_90",5.5,"t_20_25",67,"rabi","clay_loam","class 6"
"chickpea","n_30_50","p_50_70","k_70_90",7,"t_20_25",67,"rabi","clay_loam","class 11"
"chickpea","n_30_50","p_50_70","k_70_90",5.5,"t_25_30",67,"rabi","clay_loam","class 20"
"chickpea","n_30_50","p_50_70","k_70_90",7,"t_25_30",67,"rabi","clay_loam","class 20"
"chickpea","n_30_50","p_50_70","k_70_90",5.5,"t_20_25",95,"rabi","clay_loam","class 6"
"chickpea","n_30_50","p_50_70","k_70_90",7,"t_20_25",95,"rabi","clay_loam","class 17"
"chickpea","n_30_50","p_50_70","k_70_90",5.5,"t_25_30",95,"rabi","clay_loam","class 20"
"chickpea","n_30_50","p_50_70","k_70_90",7,"t_25_30",95,"rabi","clay_loam","class 20"
"green_beans","n_30_50","p_60_80","k_40_60",5.5,"t_10_15",90,"kharif","sandy","class 6"
"green_beans","n_30_50","p_60_80","k_40_60",6,"t_10_15",90,"kharif","sandy","class 6"
"green_beans","n_30_50","p_60_80","k_40_60",5.5,"t_15_20",90,"kharif","sandy","class 6"
"green_beans","n_30_50","p_60_80","k_40_60",6,"t_15_20",90,"kharif","sandy","class 6"
"green_beans","n_30_50","p_60_80","k_40_60",5.5,"t_20_25",90,"kharif","sandy","class 6"
"green_beans","n_30_50","p_60_80","k_40_60",6,"t_20_25",90,"kharif","sandy","class 6"
"green_beans","n_30_50","p_60_80","k_40_60",5.5,"t_25_30",90,"kharif","sandy","class 6"
"green_beans","n_30_50","p_60_80","k_40_60",6,"t_25_30",90,"kharif","sandy","class 6"
"green_beans","n_30_50","p_60_80","k_40_60",5.5,"t_10_15",120,"kharif","sandy","class 6"
"green_beans","n_30_50","p_60_80","k_40_60",6,"t_10_15",120,"kharif","sandy","class 6"
"green_beans","n_30_50","p_60_80","k_40_60",5.5,"t_15_20",120,"kharif","sandy","class 6"
"green_beans","n_30_50","p_60_80","k_40_60",6,"t_15_20",120,"kharif","sandy","class 6"
"green_beans","n_30_50","p_60_80","k_40_60",5.5,"t_20_25",120,"kharif","sandy","class 6"
"green_beans","n_30_50","p_60_80","k_40_60",6,"t_20_25",120,"kharif","sandy","class 6"
"green_beans","n_30_50","p_60_80","k_40_60",5.5,"t_25_30",120,"kharif","sandy","class 6"
"green_beans","n_30_50","p_60_80","k_40_60",6,"t_25_30",120,"kharif","sandy","class 6"
"green_beans","n_30_50","p_60_80","k_40_60",5.5,"t_10_15",90,"kharif","loam","class 6"
"green_beans","n_30_50","p_60_80","k_40_60",6,"t_10_15",90,"kharif","loam","class 6"
"green_beans","n_30_50","p_60_80","k_40_60",5.5,"t_15_20",90,"kharif","loam","class 6"
"green_beans","n_30_50","p_60_80","k_40_60",6,"t_15_20",90,"kharif","loam","class 6"
"green_beans","n_30_50","p_60_80","k_40_60",5.5,"t_20_25",90,"kharif","loam","class 6"
"green_beans","n_30_50","p_60_80","k_40_60",6,"t_20_25",90,"kharif","loam","class 6"
"green_beans","n_30_50","p_60_80","k_40_60",5.5,"t_25_30",90,"kharif","loam","class 6"
"green_beans","n_30_50","p_60_80","k_40_60",6,"t_25_30",90,"kharif","loam","class 6"
"green_beans","n_30_50","p_60_80","k_40_60",5.5,"t_10_15",120,"kharif","loam","class 6"
"green_beans","n_30_50","p_60_80","k_40_60",6,"t_10_15",120,"kharif","loam","class 6"
"green_beans","n_30_50","p_60_80","k_40_60",5.5,"t_15_20",120,"kharif","loam","class 6"
"green_beans","n_30_50","p_60_80","k_40_60",6,"t_15_20",120,"kharif","loam","class 6"
"green_beans","n_30_50","p_60_80","k_40_60",5.5,"t_20_25",120,"kharif","loam","class 6"
"green_beans","n_30_50","p_60_80","k_40_60",6,"t_20_25",120,"kharif","loam","class 6"
"green_beans","n_30_50","p_60_80","k_40_60",5.5,"t_25_30",120,"kharif","loam","class 6"
"green_beans","n_30_50","p_60_80","k_40_60",6,"t_25_30",120,"kharif","loam","class 6"
"fava_bean","n_80_100","p_115_135","k_50_70",6.2,"t_15_20",35,"rabi","clay","class 7"
"fava_bean","n_80_100","p_115_135","k_50_70",6.8,"t_15_20",35,"rabi","clay","class 7"
"fava_bean","n_80_100","p_115_135","k_50_70",6.2,"t_15_20",40,"rabi","clay","class 7"
"fava_bean","n_80_100","p_115_135","k_50_70",6.8,"t_15_20",40,"rabi","clay","class 7"
"fava_bean","n_80_100","p_115_135","k_50_70",6.2,"t_15_20",35,"rabi","loam","class 7"
"fava_bean","n_80_100","p_115_135","k_50_70",6.8,"t_15_20",35,"rabi","loam","class 7"
"fava_bean","n_80_100","p_115_135","k_50_70",6.2,"t_15_20",40,"rabi","loam","class 7"
"fava_bean","n_80_100","p_115_135","k_50_70",6.8,"t_15_20",40,"rabi","loam","class 7"
"lima_bean","n_30_50","p_50_70","k_10_30",6,"t_15_20",90,"kharif","loam","class 6"
"lima_bean","n_30_50","p_50_70","k_10_30",7,"t_15_20",90,"kharif","loam","class 11"
"lima_bean","n_30_50","p_50_70","k_10_30",6,"t_15_20",150,"kharif","loam","class 6"
"lima_bean","n_30_50","p_50_70","k_10_30",7,"t_15_20",150,"kharif","loam","class 11"
"guar","n_15_35","p_40_60","k_15_35",7,"t_25_30",25,"kharif","loam","class 9"
"guar","n_15_35","p_40_60","k_15_35",8,"t_25_30",25,"kharif","loam","class 9"
"guar","n_15_35","p_40_60","k_15_35",7,"t_25_30",100,"kharif","loam","class 9"
"guar","n_15_35","p_40_60","k_15_35",8,"t_25_30",100,"kharif","loam","class 9"
"guar","n_15_35","p_40_60","k_15_35",7,"t_25_30",25,"kharif","sandy_loam","class 9"
"guar","n_15_35","p_40_60","k_15_35",8,"t_25_30",25,"kharif","sandy_loam","class 4"
"guar","n_15_35","p_40_60","k_15_35",7,"t_25_30",100,"kharif","sandy_loam","class 2"
"guar","n_15_35","p_40_60","k_15_35",8,"t_25_30",100,"kharif","sandy_loam","class 2"
"soybean","n_10_30","p_50_70","k_10_30",6,"t_25_30",60,"kharif","sandy_loam","class 20"
"soybean","n_10_30","p_50_70","k_10_30",7.5,"t_25_30",60,"kharif","sandy_loam","class 20"
"soybean","n_10_30","p_50_70","k_10_30",6,"t_25_30",65,"kharif","sandy_loam","class 20"
"soybean","n_10_30","p_50_70","k_10_30",7.5,"t_25_30",65,"kharif","sandy_loam","class 20"
"peanut_groundnut","n_5_25","p_15_35","k_0_15",5.5,"t_20_25",60,"kharif","sandy_loam","class 10"
"peanut_groundnut","n_5_25","p_15_35","k_0_15",7,"t_20_25",60,"kharif","sandy_loam","class 6"
"peanut_groundnut","n_5_25","p_15_35","k_0_15",5.5,"t_20_25",150,"kharif","sandy_loam","class 1"
"peanut_groundnut","n_5_25","p_15_35","k_0_15",7,"t_20_25",150,"kharif","sandy_loam","class 2"
"peanut_groundnut","n_5_25","p_15_35","k_0_15",5.5,"t_20_25",60,"kharif","sandy_clay_loam","class 10"
"peanut_groundnut","n_5_25","p_15_35","k_0_15",7,"t_20_25",60,"kharif","sandy_clay_loam","class 6"
"peanut_groundnut","n_5_25","p_15_35","k_0_15",5.5,"t_20_25",150,"kharif","sandy_clay_loam","class 10"
"peanut_groundnut","n_5_25","p_15_35","k_0_15",7,"t_20_25",150,"kharif","sandy_clay_loam","class 6"
"black_eyed_pea","n_10_30","p_50_70","k_10_30",6,"t_20_25",40,"kharif","loam","class 20"
"black_eyed_pea","n_10_30","p_50_70","k_10_30",7.5,"t_20_25",40,"kharif","loam","class 19"
"black_eyed_pea","n_10_30","p_50_70","k_10_30",6,"t_25_30",40,"kharif","loam","class 20"
"black_eyed_pea","n_10_30","p_50_70","k_10_30",7.5,"t_25_30",40,"kharif","loam","class 20"
"black_eyed_pea","n_10_30","p_50_70","k_10_30",6,"t_20_25",70,"kharif","loam","class 20"
"black_eyed_pea","n_10_30","p_50_70","k_10_30",7.5,"t_20_25",70,"kharif","loam","class 19"
"black_eyed_pea","n_10_30","p_50_70","k_10_30",6,"t_25_30",70,"kharif","loam","class 20"
"black_eyed_pea","n_10_30","p_50_70","k_10_30",7.5,"t_25_30",70,"kharif","loam","class 20"
"kidney_bean","n_10_30","p_50_70","k_10_30",5.5,"t_15_20",60,"kharif","loam","class 20"
"kidney_bean","n_10_30","p_50_70","k_10_30",6,"t_15_20",60,"kharif","loam","class 20"
"kidney_bean","n_10_30","p_50_70","k_10_30",5.5,"t_20_25",60,"kharif","loam","class 10"
"kidney_bean","n_10_30","p_50_70","k_10_30",6,"t_20_25",60,"kharif","loam","class 20"
"kidney_bean","n_10_30","p_50_70","k_10_30",5.5,"t_15_20",150,"kharif","loam","class 20"
"kidney_bean","n_10_30","p_50_70","k_10_30",6,"t_15_20",150,"kharif","loam","class 11"
"kidney_bean","n_10_30","p_50_70","k_10_30",5.5,"t_20_25",150,"kharif","loam","class 10"
